screen_name,id,followers_count,friends_count,favorites_count,statuses_count,last_status,created_at,
gregorykjordan,4517544993,198,1303,59,43,1452474206,1450385795,1,
iftee_23,4681910246,5,27,0,2,1451547436,1451545025,1,
allen_giles1599,4091790021,38,147,0,3,1451629919,1446403749,1,
TurboGener,163000834,634,2008,9591,29882,1452468649,1278317656,1,
adamgordon95,4605721713,17,32,0,0,NULL,1451093568,2,
Matheus9414,2390454025,65,1098,505,1,1441235681,1394860585,1,
ScottCao12,4640584212,12,43,0,0,NULL,1450924000,2,
IceBurg1989,3302403963,21,62,5,17,1451541868,1432875769,1,
CacoRubin,4661437883,11,35,4,6,1452098052,1451540251,1,
Vida_666_Vida,4619327240,27,52,0,3,1450713554,1450679453,1,
jakeagoficial,4661307388,14,104,0,1,1452407323,1451538671,1,
rockbox_1,2321139152,85,241,4,1,1451501332,1391190056,1,
j3_moose,814276476,215,141,294,0,NULL,1347242699,2,
rcervantes2015,2465124163,55,289,1232,909,1452229032,1398546017,1,
SakthiBasker,4681554151,3,43,0,0,NULL,1451538143,2,
mare7012,3285758708,403,1221,911,386,1452409239,1437420075,1,
JakeCur33574305,4616953632,7,32,0,1,1450660801,1450658224,1,
vickiranyak,345631429,68,483,77,112,1451537319,1312065902,1,
miike48,14767017,63,174,1,148,1443488147,1210725406,1,
knothead911,4495449525,15,42,13,27,1452269503,1450210721,1,
yuinatt17,3429724431,51,203,8,59,1452398376,1439899765,1,
yamatyan258,4681038798,45,198,20,0,NULL,1451531618,2,
mya_fedewa,2315702700,219,399,545,860,1452476430,1390924495,1,
manonegracom,121980118,14,74,1,1,1451966568,1268288105,1,
DoverDover3,4634169555,36,198,0,2,1452095675,1451321824,1,
tony_gesualdo,3664695556,7,42,20,0,NULL,1442326492,2,
MikkoJuhani90,3418898933,22,17,7,4,1452427338,1439417377,1,
eliasgg97,4675792207,27,49,0,4,1452241512,1451441088,1,
Deanguitars4u,4660039517,11,79,7,4,1451984164,1451529003,1,
peter_murr,3279586357,41,137,1,45,1452339414,1436876179,1,
kris_muahaha,4533621012,99,246,509,352,1452464463,1449885534,1,
JayMacchione,754305450,128,451,2816,3152,1452471251,1344827569,1,
Empires_A_S,4417071988,73,235,0,0,NULL,1449588530,2,
Stevepounder,333695474,17,28,152,851,1452466947,1310425487,1,
calvin_keats,3064949548,76,388,19,57,1451694385,1425147500,1,
Apex_Gold,3016624941,9,26,1,7,1452128433,1423035012,1,
TheAnthonyDenny,4659342142,31,77,12,8,1452221341,1451522882,1,
JorgeMags18,2768389070,48,108,2154,5930,1452474012,1409009660,1,
aliciabrooke65,4039967594,17,59,8,0,NULL,1445984743,2,
Capsgurl4life,166483301,507,1748,369,417,1452384183,1279093153,1,
pawanra23166268,4680591259,10,64,3,4,1452395570,1451521477,1,
slupstan,4647152782,64,194,10,7,1452424610,1451425075,1,
Raymond_Norman,444284249,15805,16053,82449,128289,1452479895,1324609940,1,
g_shop10140,4608149365,76,234,0,5,1451726648,1450575444,1,
GiovanniRebolla,1837413818,22,96,122,135,1452449935,1378690504,1,
suhr01,113590173,45,44,18,394,1451779337,1265968048,1,
kaanagitarist,4658727735,7,51,0,1,1451520672,1451518905,1,
Chriss593,4604590763,6,19,1,0,NULL,1451084050,2,
Kurdt__Kobane,2910860720,97,244,3,236,1452469559,1417001647,1,
theedaveg,2193174686,369,366,2568,6031,1452473104,1384387576,1,
yhangante,4667348353,170,632,302,30,1452475714,1451305759,1,
numinamx,3250914103,41,151,9,7,1452380453,1434821703,1,
adfvgdrdfgdf,1566920744,36,417,1,0,NULL,1372894809,2,
dmgtr2803,1854156601,244,206,493,1096,1452435241,1378900653,1,
Gauna5123,2757309924,309,1516,951,301,1452365045,1408758871,1,
